red apples/nouns,description,set
Brothers,"Oh, brother!",[Junior 9+ (1st) & (2nd)]
Brushing Your Teeth,Oh! What's that gunk stuck on your teeth?,[Junior 9+ (1st) & (2nd)]
Bubble Gum,"Chewing is easy, blowing bubbles is hard, getting it out of your hair is even harder.",[Junior 9+ (1st) & (2nd)]
Buffalo,"A large animal with a big, shaggy head and a hump on its back, native to North America.",[Junior 9+ (1st) & (2nd)]
Bunk Beds,"Two single beds, one on top of the other. I want the top!",[Junior 9+ (1st) & (2nd)]
Burned Toast,Want some burned bacon with that?,[Junior 9+ (1st) & (2nd)]
Bus Drivers,Don't bother the bus driver.,[Junior 9+ (1st) & (2nd)]
Butter,What's better than butter?,[Junior 9+ (1st) & (2nd)]
Butterflies,Butterflies flutter by.,[Junior 9+ (1st) & (2nd)]
Camping,Shhh! Did you hear that noise?,[Junior 9+ (1st) & (2nd)]
Canada,Largest country in North America. Canada is located north of the U.S.,[Junior 9+ (1st) & (2nd)]
Candy Corn,It may be corn but it's not a vegetable.,[Junior 9+ (1st) & (2nd)]
Canoes,"Light, narrow boats. Don't stand up!",[Junior 9+ (1st) & (2nd)]
Car Crash,Always wear your seatbelt.,[Junior 9+ (1st) & (2nd)]
Card Games,"""Apples to Apples"" might be fun!",[Junior 9+ (1st) & (2nd)]
Carrots,Bugs Bunny's favorite food.,[Junior 9+ (1st) & (2nd)]
Castles,"Some have towers, dungeons and moats.",[Junior 9+ (1st) & (2nd)]
Caves,"Dark and cool, and sometimes home to bats.",[Junior 9+ (1st) & (2nd)]
Cheerleaders,"""Go, Team, Go!""",[Junior 9+ (1st) & (2nd)]
Cheese Sandwich,"Two pieces of bread and a slice of cheese. Grill it, if you want.",[Junior 9+ (1st) & (2nd)]
Chicken Pox,An illness that comes with a fever and itchy red bumps. Don't scratch!,[Junior 9+ (1st) & (2nd)]
Chocolate Milk,Good for you and tastes good too!,[Junior 9+ (1st) & (2nd)]
Clay,The oven where pottery is hardened is called a kiln.,[Junior 9+ (1st) & (2nd)]
Climbing A Ladder,Don't look down!,[Junior 9+ (1st) & (2nd)]
Clouds,I see an elephant! And that one looks like a rabbit.,[Junior 9+ (1st) & (2nd)]
Coffee,Two-thirds of the world's coffee beans are grown in Central and Southern America.,[Junior 9+ (1st) & (2nd)]
Collection Shells,She sells seashells by the seashore.,[Junior 9+ (1st) & (2nd)]
Computers,"Great for games, homework, and e-mail.",[Junior 9+ (1st) & (2nd)]
Cookies,"Chocolate chip, oatmeal, sugar or peanut butter.",[Junior 9+ (1st) & (2nd)]
Cooking Dinner,What's for dinner?,[Junior 9+ (1st) & (2nd)]
Corn Flakes,Eat them fast or they'll get soggy.,[Junior 9+ (1st) & (2nd)]
Crying,"""Don't cry over spilled milk.""",[Junior 9+ (1st) & (2nd)]
Cupcakes,"Small cakes, the size of a cup.",[Junior 9+ (1st) & (2nd)]
Dead Fish,"Floating in the water, washed up on shore, or at a fish market.",[Junior 9+ (1st) & (2nd)]
Dirt,Good in the garden.,[Junior 9+ (1st) & (2nd)]
Doctors,Stick out your tongue and say aaaaah!,[Junior 9+ (1st) & (2nd)]
Doorbells,Would someone please answer the door?,[Junior 9+ (1st) & (2nd)]
Driving A Car,"In most states, you have to be 16 years old to drive a car.",[Junior 9+ (1st) & (2nd)]
Dump Trucks,"Large trucks that carry dirt, sand, and rocks.",[Junior 9+ (1st) & (2nd)]
Eating Breakfast,It's always breakfast time at a truck stop.,[Junior 9+ (1st) & (2nd)]
Egg Rolls,Crunchy rolls filled with vegetables and meat. Available at Chinese restaurants.,[Junior 9+ (1st) & (2nd)]
Eggs,"Birds, fish, snakes and insects all lay eggs.",[Junior 9+ (1st) & (2nd)]
Elmo,"A little, red, fuzzy guy from Sesame Street. Tickle me!",[Junior 9+ (1st) & (2nd)]
Eyes,Flies have five eyes.,[Junior 9+ (1st) & (2nd)]
Fairies,Tiny storybook characters with wings and magic powers.,[Junior 9+ (1st) & (2nd)]
Farmers,There's a farmer in the dell.,[Junior 9+ (1st) & (2nd)]
Feathers,"Feathers protect a bird's skin, keep them warm, and help them fly.",[Junior 9+ (1st) & (2nd)]
Flags,There are fifty stars and thirteen stripes on the flag of the United States of America.,[Junior 9+ (1st) & (2nd)]
Flashlights,Good for camping and reading under the covers.,[Junior 9+ (1st) & (2nd)]
Flies,A group of insects with wings. They enjoy picnics.,[Junior 9+ (1st) & (2nd)]
Floods,Heavy rains and melting snow can cause floods.,[Junior 9+ (1st) & (2nd)]
Football,It's a ball AND a game.,[Junior 9+ (1st) & (2nd)]
Forest Fires,Lightning can start forest fires.,[Junior 9+ (1st) & (2nd)]
French Fries,"In Europe, French fries are usually eaten with a fork.",[Junior 9+ (1st) & (2nd)]
Frogs,Some frogs can jump 20 feet.,[Junior 9+ (1st) & (2nd)]
Garbage Cans,A restaurant for raccoons.,[Junior 9+ (1st) & (2nd)]
Gas Stations,How far to the next gas station?,[Junior 9+ (1st) & (2nd)]
Getting A Haircut,It will always grow back.,[Junior 9+ (1st) & (2nd)]
Getting A Shot,It's better than getting sick!,[Junior 9+ (1st) & (2nd)]
Getting Lost,"Now, where did they go?",[Junior 9+ (1st) & (2nd)]
Ghosts,"A pale, shadowy form, and a favorite Halloween costume.",[Junior 9+ (1st) & (2nd)]
Glass,Glass is made by melting sand with potash or other chemicals.,[Junior 9+ (1st) & (2nd)]
Goats,Goats have short horns and beards. They'll eat anything.,[Junior 9+ (1st) & (2nd)]
Going To School,The easiest way to get an education.,[Junior 9+ (1st) & (2nd)]
Gorillas,"Large, strong members of the monkey family. Gorillas come from Africa.",[Junior 9+ (1st) & (2nd)]
Grape Jelly,It's perfect for peanut butter and jelly sandwiches.,[Junior 9+ (1st) & (2nd)]
Gravy,Sauce made from meat juices. Got to have it on mashed potatoes.,[Junior 9+ (1st) & (2nd)]
Green Beans,"Long, thin beans that you can eat raw or cooked.",[Junior 9+ (1st) & (2nd)]
Hamburgers,Do you want fries with that?,[Junior 9+ (1st) & (2nd)]
Hammers,"""I'd rather be a hammer than a nail.""",[Junior 9+ (1st) & (2nd)]
Harry Potter,The hero in a series of books by J.K. Rowling featuring wizards and muggles.,[Junior 9+ (1st) & (2nd)]
Hiding Places,It's a secret.,[Junior 9+ (1st) & (2nd)]
High School,Most students start high school when they are fourteen.,[Junior 9+ (1st) & (2nd)]
Hiking In The Woods,It's an adventure.,[Junior 9+ (1st) & (2nd)]
Hockey,Skate! Pass! Score!,[Junior 9+ (1st) & (2nd)]
Honey,"A sweet, thick, gold liquid made by bees.",[Junior 9+ (1st) & (2nd)]
Horses,"Black Beauty, the Black Stallion, and Flicka are famous horses in literature.",[Junior 9+ (1st) & (2nd)]
Hospitals,The ambulance is the fastest way to get there.,[Junior 9+ (1st) & (2nd)]
Hunters,"Wolves, hawks, owls, and people all hunt for food.",[Junior 9+ (1st) & (2nd)]
Ice,Good for drinks in the summer and skating in the winter.,[Junior 9+ (1st) & (2nd)]
Juggling,Start with two and see how you do.,[Junior 9+ (1st) & (2nd)]
Kisses,Chocolate kisses are the best!,[Junior 9+ (1st) & (2nd)]
Lizards,The Komodo dragon is the largest living lizard. They can grow to over ten feet long.,[Junior 9+ (1st) & (2nd)]
Llamas,"South American animal related to the camel, raised for wool, and used as pack animals.",[Junior 9+ (1st) & (2nd)]
Long Hair,"Braid it, tie it in a ponytail, or just let it fly in the wind.",[Junior 9+ (1st) & (2nd)]
Magic Tricks,"Now you see it, now you don't!",[Junior 9+ (1st) & (2nd)]
"Martin Luther King, Jr.","He believed that everyone should have equal rights, regardless of the color of their skin.",[Junior 9+ (1st) & (2nd)]
Mary-Kate And Ashley,The Olsen twins have been TV stars since the 1980s. They also have books and videos.,[Junior 9+ (1st) & (2nd)]
Mashed Potatoes,Pile them up like a volcano and put butter in the middle.,[Junior 9+ (1st) & (2nd)]
Math,"Add, subtract, multiply and divide- or use a calculator!",[Junior 9+ (1st) & (2nd)]
Meatballs,"Like meatloaf, only smaller.",[Junior 9+ (1st) & (2nd)]
Mexico,"Country in North America, just south of the United States. Spanish is spoken in Mexico.",[Junior 9+ (1st) & (2nd)]
Mud,"Soft, wet, sticky, gooey, gritty, grimy dirt.",[Junior 9+ (1st) & (2nd)]
Music,"Pick your favorite: country, pop, rock, rap, hip hop, jazz, or classical.",[Junior 9+ (1st) & (2nd)]
Music Lessons,"Practice, practice, practice.",[Junior 9+ (1st) & (2nd)]
Mustard,Made from seeds of the mustard plant. Spread on pretzels and hotdogs.,[Junior 9+ (1st) & (2nd)]
My Family,Everyone's family is different.,[Junior 9+ (1st) & (2nd)]
My Friends,"To have good friends, you have to be one.",[Junior 9+ (1st) & (2nd)]
My School,"""Be true to your school.""",[Junior 9+ (1st) & (2nd)]
New York City,"America's largest city, known for the Statue of Liberty.",[Junior 9+ (1st) & (2nd)]
Niagara Falls,"The 2nd largest waterfall in the world, located on the United States border with Canada.",[Junior 9+ (1st) & (2nd)]
Noodles,"Most noodles are made with flour, water and eggs, but some contain seaweed or spinach.",[Junior 9+ (1st) & (2nd)]
North Pole,"The northern most point on the earth, but you're not going to find a pole there.",[Junior 9+ (1st) & (2nd)]
Octopus,"A sea animal with a soft, round body and eight long arms, called tentacles.",[Junior 9+ (1st) & (2nd)]
Painting A Fence,A good way to earn some money.,[Junior 9+ (1st) & (2nd)]
Pancakes,Some people call them flapjacks.,[Junior 9+ (1st) & (2nd)]
Panda Bears,"In China they're called ""Xiongmao"" which means giant cat bear.",[Junior 9+ (1st) & (2nd)]
Peaches,Fuzzy fruit.,[Junior 9+ (1st) & (2nd)]
Peanuts,"Peanuts are really a seed, not a pea or a nut.",[Junior 9+ (1st) & (2nd)]
Pencils,Three-fourths of all pencils made in the United States are yellow.,[Junior 9+ (1st) & (2nd)]
Pennies,Heads or tails?,[Junior 9+ (1st) & (2nd)]
Peppers,"Sweet and crunchy, or hot and spicy!",[Junior 9+ (1st) & (2nd)]
Pierced Ears,"Mom, when can I get my ears pierced?",[Junior 9+ (1st) & (2nd)]
Pigs,"Raised for their meat, including ham and bacon.",[Junior 9+ (1st) & (2nd)]
Pillows,Pillow fight!,[Junior 9+ (1st) & (2nd)]
Pine Cones,Pine cones from Eastern White Pines can grow to eight inches in length.,[Junior 9+ (1st) & (2nd)]
Planting Flowers,"""April showers bring May flowers.""",[Junior 9+ (1st) & (2nd)]
Potato Chips,"Plain, sour cream and onion, ranch, or barbecue chips.",[Junior 9+ (1st) & (2nd)]
Pumpkins,Bake it or carve it. Pumpkins are actually a fruit!,[Junior 9+ (1st) & (2nd)]
Puppets,"Finger puppets, hand puppets and string puppets. Kermit the Frog is a rod puppet.",[Junior 9+ (1st) & (2nd)]
Radios,"In the 1940s, before television, families gathered together to listen to the radio.",[Junior 9+ (1st) & (2nd)]
Rain,"""Rain, rain, go away, come again another day.""",[Junior 9+ (1st) & (2nd)]
Rainbows,"There are seven colors in a rainbow: red, orange, yellow, green, blue, indigo, and violet.",[Junior 9+ (1st) & (2nd)]
Ramona,"Main character in Beverly Cleary's ""Ramona the Pest"" and other books in the series.",[Junior 9+ (1st) & (2nd)]
Red Roses,Red roses are a symbol of love.,[Junior 9+ (1st) & (2nd)]
Rice,"A grain grown for food. Rice can be white, brown or black.",[Junior 9+ (1st) & (2nd)]
Robots,They should make a robot that does homework.,[Junior 9+ (1st) & (2nd)]
Rocking Chairs,Rock-a-bye baby.,[Junior 9+ (1st) & (2nd)]
Rocks,Rock collectors are sometimes called rockhounds.,[Junior 9+ (1st) & (2nd)]
Roller Coaster,Roller coaster cars can go more than 70 miles per hour.,[Junior 9+ (1st) & (2nd)]
Rollerblading,Faster than walking.,[Junior 9+ (1st) & (2nd)]
Running In A Race,A marathon is a 26 mile race.,[Junior 9+ (1st) & (2nd)]
Salads,"Fruit salads, pasta salads, potato salads, and lettuce salads.",[Junior 9+ (1st) & (2nd)]
Salt,"In ancient times salt was valuable. In fact, it was used as money.",[Junior 9+ (1st) & (2nd)]
Sand,"The desert, the dunes, the beach, and in your shoes.",[Junior 9+ (1st) & (2nd)]
School Lunch,"Hot lunch, cold lunch, or bring your own lunch.",[Junior 9+ (1st) & (2nd)]
Scientists,"Scientists study astronomy, biology, chemistry, geology, and other stuff.",[Junior 9+ (1st) & (2nd)]
Scooby-Doo,"TV cartoon dog who helps solve crimes. ""Scooby-Doo, where are you?""",[Junior 9+ (1st) & (2nd)]
Ships,"Battleships, cruise ships, freighters, and oil tankers.",[Junior 9+ (1st) & (2nd)]
Sisters,"Sister, sister!",[Junior 9+ (1st) & (2nd)]
Skateboards,"""Skateboarding is not a crime!""",[Junior 9+ (1st) & (2nd)]
Skinned Knees,Ouch! Ouch! OUCH!,[Junior 9+ (1st) & (2nd)]
Sleepovers,"If you don't sleep, is it still a sleepover?",[Junior 9+ (1st) & (2nd)]
Sneezing,Ah-ah-ah-choo!,[Junior 9+ (1st) & (2nd)]
Snow Cones,You don't have to wait for snow.,[Junior 9+ (1st) & (2nd)]
Soldiers,Men and women who serve in the military.,[Junior 9+ (1st) & (2nd)]
Spelling Bees,Spelling contests. They have nothing to do with bees.,[Junior 9+ (1st) & (2nd)]
Starfish,"A star-shaped sea creature with five or more arms. If one breaks off, another arm will grow.",[Junior 9+ (1st) & (2nd)]
Sunburns,"Next time, use some sunscreen.",[Junior 9+ (1st) & (2nd)]
Superman,Faster than a speeding bullet!,[Junior 9+ (1st) & (2nd)]
Teachers,"""What do you mean, you didn't know there was a test today?""",[Junior 9+ (1st) & (2nd)]
Teenagers,Ages thirteen to nineteen.,[Junior 9+ (1st) & (2nd)]
Teeth,Adults have 32 permanent teeth.,[Junior 9+ (1st) & (2nd)]
Telling Scary Stories,"""It was a dark and stormy night . . .""",[Junior 9+ (1st) & (2nd)]
Tents,"A pup tent will hold one or two people, but a circus tent can hold hundreds.",[Junior 9+ (1st) & (2nd)]
Thanksgiving Day,A harvest festival celebrated on the fourth Thursday in November in the U.S.,[Junior 9+ (1st) & (2nd)]
The Beach,"Sun, surf, and sand.",[Junior 9+ (1st) & (2nd)]
The Earth,Third planet from the sun. Home to Earthlings.,[Junior 9+ (1st) & (2nd)]
The Last Day Of School,Almost as good as a birthday!,[Junior 9+ (1st) & (2nd)]
The Library,"Books, magazines, newspapers, tapes, and computers. SHHHH!",[Junior 9+ (1st) & (2nd)]
The Mall,Great place to shop and meet friends.,[Junior 9+ (1st) & (2nd)]
The Moon,"There's a new moon and there's a full moon, and sometimes there's a man in the moon.",[Junior 9+ (1st) & (2nd)]
The Ocean,Almost three-fourths of the Earth's surface is covered by the four oceans.,[Junior 9+ (1st) & (2nd)]
The Police,They keep order and arrest those who break the law.,[Junior 9+ (1st) & (2nd)]
The President,A U.S. president must be at least 35 years old and a natural born citizen.,[Junior 9+ (1st) & (2nd)]
Thunder,A booming sound wave created by the heat from lightning.,[Junior 9+ (1st) & (2nd)]
Toasted Marshmallows,Add chocolate and graham crackers and you'll wish you had s'more.,[Junior 9+ (1st) & (2nd)]
Toenails,A horse's foot is actually a toe. The hoof is a toenail.,[Junior 9+ (1st) & (2nd)]
Tomato Soup,Good with cheese sandwiches.,[Junior 9+ (1st) & (2nd)]
Tooth Fairy,Who knows what they do with all those baby teeth.,[Junior 9+ (1st) & (2nd)]
Trees,Some redwood trees in California are over 300 feet tall and thousands of years old.,[Junior 9+ (1st) & (2nd)]
Turkeys,Large birds raised for food. Popular at Thanksgiving.,[Junior 9+ (1st) & (2nd)]
Unicorns,"Imaginary horse-like animals. A long, pointed horn grown from the middle of their foreheads.",[Junior 9+ (1st) & (2nd)]
Valentine's Day,Will you be my Valentine?,[Junior 9+ (1st) & (2nd)]
Vanilla Pudding,"Now available frozen, on a stick.",[Junior 9+ (1st) & (2nd)]
Video Games,I told you ten hours a day was too much!,[Junior 9+ (1st) & (2nd)]
Volleyball,Spike it!,[Junior 9+ (1st) & (2nd)]
Walking The Dog,It's good exercise.,[Junior 9+ (1st) & (2nd)]
Warts,"Small, hard lumps that grow on the skin. Anyone can get them, not just witches.",[Junior 9+ (1st) & (2nd)]
Watching Football,Isn't it more fun to PLAY football?,[Junior 9+ (1st) & (2nd)]
Water,"Pure water has no color, taste or smell. So, if it smells funny, don't drink it.",[Junior 9+ (1st) & (2nd)]
Water Guns,Don't take them to school!,[Junior 9+ (1st) & (2nd)]
Water Skiing,Try it on one ski.,[Junior 9+ (1st) & (2nd)]
Waterparks,Wet and wild!,[Junior 9+ (1st) & (2nd)]
Whipped Cream,Sweet and fluffy!,[Junior 9+ (1st) & (2nd)]
Winning A Trophy,Congratulations!,[Junior 9+ (1st) & (2nd)]
Winter,The coldest season of the year.,[Junior 9+ (1st) & (2nd)]
Wishbone,Star of television and over 50 books. Wishbone is a Jack Russell terrier.,[Junior 9+ (1st) & (2nd)]
Wrestling,A sport where two people try to force each other to the ground. No hitting allowed.,[Junior 9+ (1st) & (2nd)]
Writing A Letter,"Dear Mom, How are you? I am fine.",[Junior 9+ (1st) & (2nd)]
