red apples/nouns,description,set
Disneyland,A theme park featuring cartoon characters like Mickey Mouse and Donald Duck..,[Junior]
Doing The Dishes,I'll wash the dishes and you can dry.,[Junior]
Dragons,Pretend animals that look like giant lizards with wings. Sometimes they breath fire!,[Junior]
Drums,Beat it!,[Junior]
Ducks,Large birds with webbed feet and a flat bill. Quack-quack-quack!,[Junior]
Dumbo,"A little elephant cartoon character. When he flaps his ears, he can fly!",[Junior]
Elephants,Huge gray animals with large ears and trunks. Some elephants have tusks.,[Junior]
Face Paint,"You can be a clown, a pirate, a cat, or whatever you want.",[Junior]
Farms,"A place where animals and crops are raised for food. ""Old McDonald had a farm.""",[Junior]
Finger Painting,Just paint with your fingers. No brush needed!,[Junior]
Fire,Don't get burned!,[Junior]
Firefighters,Their job is to put out fires. They also get to drive fire engines.,[Junior]
Fireworks,"Bright, explosive displays often used for the 4th of July. Bang-Boom-Pop-Pop! Ohhh-Ahhh!",[Junior]
Fishing,The perfect way to spend a summer day. Maybe you'll catch a big one!,[Junior]
Flying A Kite,Don't let go of the string!,[Junior]
Football Players,"Punt, pass, and kick!",[Junior]
Fourth Of July,The United States Independence Day. Lots of picnics and fireworks!,[Junior]
Frosty The Snowman,This snowman has a corncob pipe and a button nose.,[Junior]
Fur,"The soft, hairy covering on the skin of some animals.",[Junior]
George Washington,First president of the United States.,[Junior]
Getting Mail,"Letters, cards, magazines and packages. Is there anything for me?",[Junior]
Getting Sick,"Oh, I don't feel very good.",[Junior]
Girls,"""Sugar and spice and everything nice.""",[Junior]
Glue,Very sticky stuff!,[Junior]
Going To A Movie,Get some popcorn and watch the show.,[Junior]
Going To The Dentist,Have you brushed your teeth today?,[Junior]
Gold,Rare yellow metal used to make coins and jewelry.,[Junior]
Goldfish,Little orange fish that you can keep as pets.,[Junior]
Grapes,"Small round fruit that grows in bunches, usually purple, red or green. They make good snacks!",[Junior]
Grassy Hill,"Good for rolling down, flying kites, and playing games.",[Junior]
Grocery Stores,"Good places to buy food, supplies and candy!",[Junior]
Gummi Bears,Little rubbery candies shaped like bears.,[Junior]
Hanukkah,An eight day long Jewish celebration that usually occurs in December.,[Junior]
Homework,Something to do during comercials.,[Junior]
Hot Chocolate,A good drink on a cold day. Just add marshmallows!,[Junior]
Hot Wheels Cars,"Small, metal cars to play with and collect. They can go over 300 miles per hour downhill!",[Junior]
Hotdogs,A sausage served at ballgames and cookouts. They are NOT made from dogs!,[Junior]
Hugs,"There are bear hugs, Grandma hugs, friend hugs, and love hugs.",[Junior]
Ice Cream,"""I scream, you scream, we all scream, for ice cream!""",[Junior]
Ice Skating,"You can do fancy turns, have a race, go backwards, or just glide.",[Junior]
In The Basement,You never know what you will find down there.,[Junior]
Itchy Clothes,"Rough, prickly, scratchy - they're awful!",[Junior]
Jail,A place for keeping people who have broken the law.,[Junior]
Jell-O,"A solid, clear treat in lots of fruit flavors. It wiggles and jiggles!",[Junior]
Jumping Rope,Twirl the rope and jump!,[Junior]
Kangaroos,Large animals from Australia that hop. Mother kangaroos carry their babies in pouches.,[Junior]
Kittens,"Baby cats, usually playful and fuzzy. Meow.",[Junior]
Ladybugs,"Small, round red or orange beetles with black spots. They can fly!",[Junior]
Lemons,Sour yellow fruit. Add sugar and water and you can make lemonade!,[Junior]
Lifeguard,A person whose job it is to help and protect swimmers.,[Junior]
Lightning,"An electrical flash of light in the sky, usually during a rainstorm.",[Junior]
Lions,King of the jungle. Roar!,[Junior]
Macaroni And Cheese,"A good, hot meal that's fun to eat.",[Junior]
Madeline,Brave storybook character who lived in an old house in Paris that was covered in vines.,[Junior]
Mail Carrier,"A person who brings the mail to your house, no matter what the weather.",[Junior]
Mickey Mouse,"Disney cartoon character, friends with Minnie Mouse and Goofy.",[Junior]
Mittens,"""Three little kittens; they lost their mittens.""",[Junior]
Monster Trucks,"Large, noisy trucks that drive over cars and crush them.",[Junior]
Monsters,"Some people think they live in closets, basements, or under beds.",[Junior]
Mountains,"Very high hills. Some have snow at the top, even in the summer!",[Junior]
Muddy Feet,Squish your toes!,[Junior]
My Dad,"Father, Daddy, Papa.",[Junior]
My Grandma,My mom or dad's mother.,[Junior]
My Grandpa,My mom or dad's father.,[Junior]
My Hair,"You can curl it, cut it, and color it!",[Junior]
My Home,There's no place like home!,[Junior]
My Mom,"Mother, Mommy, Mama.",[Junior]
My Room,Where I sleep and keep all my things. KEEP OUT!,[Junior]
My Shoes,"Old shoes, new shoes, red shoes, blue shoes.",[Junior]
My Teacher,"If you can read this card, thank a teacher!",[Junior]
Night,You can see stars and the moon in the sky.,[Junior]
Oatmeal,"A hot cereal made from oats. It sticks to your ribs, and to the floor!",[Junior]
Onions,Round root vegetables with a strong smell and taste. They might make you cry!,[Junior]
Oranges,"Round orange fruit, often made into juice. Some oranges have navels.",[Junior]
Outer Space,"Where the sun, moon, and planets are located. Maybe you'll visit there some day.",[Junior]
Owls,Birds with large eyes and heads. They eat mice and snakes. Hoot-hoot.,[Junior]
Pajamas,Clothes you sleep in. Some have feet!,[Junior]
Parties,"Birthday parties, slumber parties, Halloween parties. They're all fun!",[Junior]
Peanut Butter,"A soft, creamy spread made from peanuts. Sometimes it sticks to the roof of your mouth.",[Junior]
Penguins,"Black and white sea birds found in Antarctica. They can't fly, but they sure can waddle.",[Junior]
Peter Pan,A book and movie character who could fly. He never wanted to grow up!,[Junior]
Picnics,"Pack up your food and a blanket, and go to your favorite park or beach.",[Junior]
Pine Trees,Trees that stay green all year and have pinecones and needles. They smell great!,[Junior]
Pirates,People who rob ships at sea. Blackbeard was a famous pirate.,[Junior]
Pizza,"Cheese, sausage, pepperoni, onions, and mushrooms. Pick your toppings!",[Junior]
Play-Doh,A colorful clay-like dough used for making shapes.,[Junior]
Playgrounds,"Some playgrounds have slides, swings, and sandboxes.",[Junior]
Playing Checkers,"A game for two using a checkerboard and 24 round game pieces. Jump, jump, jump - KING ME!",[Junior]
Popcorn,A good movie-time snack.,[Junior]
Pounding Nails,Use a hammer and watch your fingers.,[Junior]
Prince Charming,The handsome prince who rescued Cinderella from her hard life. They lived happily ever after.,[Junior]
Pulling Weeds,The job nobody likes to do.,[Junior]
Puppies,Young dogs. They'll chew on your shoes and bark all night.,[Junior]
Rabbits,"Small, furry animals with long ears and short, fluffy tails. They like carrots and other vegetables.",[Junior]
Raccoons,They come out at night. The dark fur around their eyes looks like a mask.,[Junior]
Raggedy Ann,a little red-headed rag doll with a triangle shaped nose.,[Junior]
Rats,Gray or brown animals that look like very large mice. Usually pet rats are white.,[Junior]
Reading A Book,A good book is like traveling to a new world.,[Junior]
Recess,My favorite subject in school!,[Junior]
Riding A Bike,Remember to wear your helmet.,[Junior]
Riding A Horse,Grab the reins and hang on!,[Junior]
Rivers,Can you spell Mississippi?,[Junior]
Ronald McDonald,The clown from McDonald's restaurants.,[Junior]
Root Beer,"A sweet, brown drink that is fizzy and foamy. Add ice cream to make a root beer float!",[Junior]
Rugrats,"A cartoon about the adventures of Tommy, Chucky, Angelica, and Phil and Lil.",[Junior]
School Buses,"Large, yellow buses used to take children to school.",[Junior]
Screaming,NOT SO LOUD!,[Junior]
Seashells,The outer shells of sea animals. You can find them on the beach.,[Junior]
Sesame Street,"Children's television show featuring Big Bird. ""Can you tell me how to get to Sesame Street?""",[Junior]
Sharks,"Meat-eating fish known for their speed, sharp teeth, and the large fins on their backs.",[Junior]
Singing,Making music with your voice. La-la-la.,[Junior]
Skunks,"Black, bushy-tailed animals with one or two white stripes down their backs. Stinky!",[Junior]
Sledding,It would be more fun if you didn't have to climb back up the hill.,[Junior]
Sleep,"""Don't let the bedbugs bite.""",[Junior]
Smoke,"""Where there's smoke, there's fire!""",[Junior]
Snakes,"Long, thin reptiles without arms or legs. Their forked tongues are used for smelling.",[Junior]
Snoopy,"The little, white beagle from the ""Peanuts"" cartoon.",[Junior]
Snow White,"""Mirror, mirror, on the wall, who is the fairest of them all?""",[Junior]
Snowballs,Just right for throwing!,[Junior]
Snowstorm,Lots of snow blowing around. Maybe school will be closed!,[Junior]
Soccer,A favorite team sport for kids. KICK IT!,[Junior]
Spaghetti,Looks like a plate of worms!,[Junior]
Spiders,They have eight legs and they spin webs to catch their food.,[Junior]
Spit,Spit that gum out right now!,[Junior]
Squirrels,Small animals with big brown eyes and bushy tails. They like nuts and can run on telephone lines.,[Junior]
Stars,Points of sparkling light that you can see in the night sky. Make a wish!,[Junior]
Stuart Little,A clever little mouse who is a character in a book and a movie.,[Junior]
Summer,SCHOOL'S OUT!,[Junior]
Summer Camp,"Day camps and sleepover camps. Either way, you'll have lots of fun.",[Junior]
Sunflower,"Tall plants with large, yellow flowers. Toast the seeds for a tasty snack.",[Junior]
Sunshine,Warms the Earth and helps plants to grow.,[Junior]
Swimming,A great way to cool down on a hot summer day!,[Junior]
Taking A Bath,Don't Forget the bubbles and toys.,[Junior]
Teletubbies,Colorful characters with televisions in their stomachs. Tinky Winky is purple.,[Junior]
The Circus,"A show featuring trained animals, clowns and acrobats.",[Junior]
The First Day Of School,"Get your backpack, your lunch, and get going!",[Junior]
The Little Mermaid,A character in a folktale who gave up her home under the sea so that she could live on land.,[Junior]
The Zoo,"""Oh! Lions and tigers and bears. Oh my.""",[Junior]
Throwing Rocks,Be careful so that you don't break any windows.,[Junior]
Throwing Up,It's proof that you really are sick.,[Junior]
Thunderstorms,Don't stand under a tree if you hear thunder!,[Junior]
Tomatoes,Most people don't know that a tomato is a fruit.,[Junior]
Toys,"Stuffed animals, action figures, dolls, balls, and lots more. Everyone loves toys!",[Junior]
Trains,"""The Little Engine That Could"" is a story about a train that climbs over a mountain.",[Junior]
Treehouse,A playhouse built in a tree. The Swiss Family Robinson lived in a treehouse on an island,[Junior]
Turtles,They pull their legs and heads inside their shells for safety.,[Junior]
Under My Bed,"A good place to hide, if it's not too messy.",[Junior]
Watching TV,"Cartoons and commercials, movies, commercials, shows, commercials, sports, and commercials.",[Junior]
Waterfalls,Water flowing from a cliff or other high place. Niagara Falls is over 160 feet high!,[Junior]
Watermelon,How far can you spit the seeds?,[Junior]
Weddings,Here comes the bride!,[Junior]
Whales,Very large animals that live in oceans. They squirt water from a blowhole.,[Junior]
Winnie The Pooh,There's never enough honey for Pooh Bear!,[Junior]
Witches,"They are famous for their pointy noses, black hats and broomsticks.",[Junior]
Worms,A favorite food of robins.,[Junior]
Yo-Yos,There are lots of tricks that you can do with a yo-yo.,[Junior]
