red apples/nouns,description,set
Power Rangers,A television series about a group of teens fighting evil space aliens.,[Junior 9+ (2nd)]
Pretzels,"Pretzels were first made in Germany. Available straight, twisted, or knotted.",[Junior 9+ (2nd)]
Race Car Drivers,Start your engines!,[Junior 9+ (2nd)]
Rain Forests,There is heavy rainfall throughout the year and lots of bugs.,[Junior 9+ (2nd)]
Raisins,They're just dried grapes.,[Junior 9+ (2nd)]
Raking Leaves,Maybe they'll all just blow away!,[Junior 9+ (2nd)]
Rap Music,Rap is a popular form of music with a strong beat and rhyming lyrics.,[Junior 9+ (2nd)]
Restaurants,It's good to try new things!,[Junior 9+ (2nd)]
Riding A Scooter,Where are the brakes?,[Junior 9+ (2nd)]
Rock Candy,"Large, clear sugar crystals- rock hard!",[Junior 9+ (2nd)]
Rock Concerts,Not on a school night!,[Junior 9+ (2nd)]
Rock Stars,Even the guys wear make-up!,[Junior 9+ (2nd)]
Roosters,The barnyard alarm clock.,[Junior 9+ (2nd)]
Sailors,Get seasick? Don't become a sailor.,[Junior 9+ (2nd)]
Sand Castles,No dogs allowed.,[Junior 9+ (2nd)]
School Pictures,How do I look?,[Junior 9+ (2nd)]
Science Experiments,Your science experiment? I thought it was dinner!,[Junior 9+ (2nd)]
Science Tests,Multiple choice or essay.,[Junior 9+ (2nd)]
Sharp Knives,"Found in kitchen drawers, tackle boxes and butcher shops.",[Junior 9+ (2nd)]
Shoplifting,It's stealing and it's against the law.,[Junior 9+ (2nd)]
Shopping,It's shopping-whether you buy something or not.,[Junior 9+ (2nd)]
Shrimp,Tiny to jumbo- they come in all sizes.,[Junior 9+ (2nd)]
Skeletons,There are 206 bones in the human body. Count them!,[Junior 9+ (2nd)]
Snowboarding,Snowboarding was declared an official Olympic sport in 1994.,[Junior 9+ (2nd)]
Snowflakes,"They say each one is different, but who would know?",[Junior 9+ (2nd)]
Sparklers,They're still fireworks!,[Junior 9+ (2nd)]
Spider-Man,He's a student. He's a superhuman crime fighter. He's Spider-Man!,[Junior 9+ (2nd)]
Spinach,Raw or cooked- it's full of vitamins.,[Junior 9+ (2nd)]
Square Dancing,"""Swing your partner!""",[Junior 9+ (2nd)]
Stomach Ache,You ate the whole thing?,[Junior 9+ (2nd)]
Strawberries,Strawberry shortcake!,[Junior 9+ (2nd)]
Substitute Teachers,"""Ms. Jones lets us eat candy and get drinks whenever we want!""",[Junior 9+ (2nd)]
Sugar,"""Sugar is sweet and so are you.""",[Junior 9+ (2nd)]
Sunken Ships,Early ships would often sink in battles or bad weather.,[Junior 9+ (2nd)]
Supermarkets,"It's a meat market, bakery, flower shop, and toy store- all in one!",[Junior 9+ (2nd)]
Surfing,The waves or the web.,[Junior 9+ (2nd)]
Surprise Parties,Everybody hide!,[Junior 9+ (2nd)]
Swamps,"Wet, spongy land, often covered with water. A great place to live- if you're a mosquito.",[Junior 9+ (2nd)]
Swans,"The ""Ugly Duckling"" was actually a baby swan.",[Junior 9+ (2nd)]
Swordfighting,"As a sport, sword fighting is called ""Fencing."" It is an Olympic event.",[Junior 9+ (2nd)]
Tacos,"Meat, cheese, and hot sauce all wrapped up in a tortilla.",[Junior 9+ (2nd)]
Taking A Shower,That'll wake you up.,[Junior 9+ (2nd)]
Tattoos,Tattoos can be painful. Temporary tatoos don't hurt at all.,[Junior 9+ (2nd)]
Television,If you get your homework done...,[Junior 9+ (2nd)]
Texas,"Famous for oil wells, barbecues, and cowboys. The capital of Texas is Austin.",[Junior 9+ (2nd)]
The Baby-Sitters Club,"This series of books, written by Ann M. Martin, is a favorite of girls, world-wide.",[Junior 9+ (2nd)]
The Chicken Dance,You put your hands in your armpits...,[Junior 9+ (2nd)]
The Lunchroom,What's for lunch?,[Junior 9+ (2nd)]
The Statue Of Liberty,"""Lady Liberty"" was a gift to the U.S. from the people of France.",[Junior 9+ (2nd)]
Tightrope Walking,"If you get really good, you can join the circus.",[Junior 9+ (2nd)]
Toothpaste,Brush and spit!,[Junior 9+ (2nd)]
Toy Poodles,"They are less than ten inches tall, from their shoulders to the floor.",[Junior 9+ (2nd)]
Training Wheels,It's a four-wheeler.,[Junior 9+ (2nd)]
Truck Drivers,See the country- or at least see the highways.,[Junior 9+ (2nd)]
Tulips,A sign of spring!,[Junior 9+ (2nd)]
Umbrellas,"""Rain, rain, go away, come again another day.""",[Junior 9+ (2nd)]
Underwear,Keep it clean!,[Junior 9+ (2nd)]
United States,"It's about 2,500 miles, from sea to shining sea.",[Junior 9+ (2nd)]
Vacuum Cleaners,It's a dirty job!,[Junior 9+ (2nd)]
Waffles,Like pancakes with built-in syrup cups.,[Junior 9+ (2nd)]
"Washington, DC","City named after George Washington, it's the capital of the United States.",[Junior 9+ (2nd)]
Watching Cartoons,Not just for kids.,[Junior 9+ (2nd)]
Water Baloons,I'll fill them and you tie them.,[Junior 9+ (2nd)]
White Bread,Plain and simple.,[Junior 9+ (2nd)]
Woodpeckers,They find insects to eat by pecking holes in wood with their beaks.,[Junior 9+ (2nd)]
Woolly Mammoth,These large hairy elephants are now extinct.,[Junior 9+ (2nd)]
Zebras,The stripes on each zebra are in a slightly different pattern.,[Junior 9+ (2nd)]
Zippers,Faster than buttons.,[Junior 9+ (2nd)]
