red apples/nouns,description,set
Being In Love,"""Love's like the measles, all the worse when it comes late."" -Douglas Jerrold","[Basic Set, Party Set]"
Berlin,"1945 - Adolph Hitler's last stand. Bunker ... I mean -hunker down, soldier.","[Basic Set, Party Set]"
Bill Clinton,"1946- , popular, yet embattled, 42nd president of the United States.","[Basic Set, Party Set]"
Bill Gates,"1955-, chairman and chief software architect of Microsoft Corporation. A very rich guy.","[Basic Set, Party Set]"
Billboards,"Only 1,254 miles to Wall Drug ...","[Basic Set, Party Set]"
Black Holes,"The gravitational field of a black hole is so strong that nothing, including light, can escape from its vicinity.","[Basic Set, Party Set]"
Blizzard,"Extreme cold, strong winds, and a head snowfall. Also known as Canada.","[Basic Set, Party Set]"
Blood,A healthy human body contains between five and six quarts of blood. Bloody right they do!,"[Basic Set, Party Set]"
Body Surfing,When you're too cheap to buy a surfboard.,"[Basic Set, Party Set]"
Bonbons,Sweets for the sweet ...,"[Basic Set, Party Set]"
Brad Pitt,"1963- , American actor and heart-throb.","[Basic Set, Party Set]"
Bubbles,"""Tiny bubbles, in the wine/ Tiny bubble make me feel fine ..."" -Don Ho","[Basic Set, Party Set]"
Bungee Jumping,Another sport hanging on by a thread.,"[Basic Set, Party Set]"
Cactus,"Require little care and exhibit bizarre forms. As such, they are often mistaken for Survivalists.","[Basic Set, Party Set]"
California,"Sacramento is its capital, Los Angeles its largest city. Here we come.","[Basic Set, Party Set]"
Canada,Federated country of North America. The Great White North - eh?,"[Basic Set, Party Set]"
Canadians,"How many Canadians does it take to screw in a lightbulb? Fifteen. Fourteen to chip it out of the ice, and one to screw it in.","[Basic Set, Party Set]"
Captain Kirk,"Fictional starship captain. ""Beam me up Scotty, there is no intelligent life on this planet!"" - bumper sticker, 1980s","[Basic Set, Party Set]"
Car Horns,"Blow it, buddy!","[Basic Set, Party Set]"
Carl Sagan,"1934-96, American astronomer and pioneer exobiologist. Touched many lives. Billions and billions of them.","[Basic Set, Party Set]"
Celine Dion,"1968-, Canadian singer whose heart will go on, and on ...","[Basic Set, Party Set]"
Chains,Gold or iron: name your shackles.,"[Basic Set, Party Set]"
Challenger Explosion,"""Without a wish, without a will/ I stood upon that silent hill/ and stared into the sky ..."" - Ralph Hodgeson","[Basic Set, Party Set]"
Charging Rhinos,How do you stop a rhino from charging? Take away its credit cards.,"[Basic Set, Party Set]"
Cher,"1946- , American singer and actor, she makes aging look good.","[Basic Set, Party Set]"
Chicago,Third largest city in the United States. Our kind of town.,"[Basic Set, Party Set]"
Chimpanzees,"Sure, they're related to us; but they don't write, and they NEVER call!","[Basic Set, Party Set]"
China,The most populous country in the world. More than one-fifth of the world's total population lives within its borders.,"[Basic Set, Party Set]"
Cigarettes,Mind if I smoke?,"[Basic Set, Party Set]"
Cinco de Mayo,"Marks the victory of the Mexican Army over the French at the Battle of Puebla, in 1862.","[Basic Set, Party Set]"
Cindy Crawford,"1966- , American Supermodel. What dreams are made of.","[Basic Set, Party Set]"
Clark Gable,"1901-60, American film actor, noted as a romantic lead. Frankly, my dear, he didn't give a damn.","[Basic Set, Party Set]"
Claude Monet,"1840-1926, French painter, regarded as one of the leaders on the impressionist movement.","[Basic Set, Party Set]"
Cleopatra,"c. 69-30 BC, Queen of Egypt, noted for love affairs with Julius Caesar and Mark Antony, which came back to bite her in the asp.","[Basic Set, Party Set]"
Clint Eastwood,"1930-, American film actor and director, past mayor of Carmel, California. Has earned fistfuls of dollars.","[Basic Set, Party Set]"
Cocaine,Alkaloid obtained from leaves of the coca plant and used as a local anesthetic and abused as a drug.,"[Basic Set, Party Set]"
Cockroaches,"Annoying insects that can survive a nuclear war. Fortunately, they can't survive the heel of your shoe.","[Basic Set, Party Set]"
Communists,"""From each, according to their ability, to each according to their need."" I need a new Ferrari.","[Basic Set, Party Set]"
Commuting,The daily grind. And we're not talking coffee.,"[Basic Set, Party Set]"
Computers,British mathematician Charles Babbage worked out the principles of the modern digital computer in the late 1800s.,"[Basic Set, Party Set]"
Confucius,"c. 551-479 BC, K'ung Fu-Tzu, Chinese philosopher and one of the most influential figures in Chinese history.","[Basic Set, Party Set]"
Corn On The Cob,"A grain native to the Americas, corn was a staple food for many centuries before corn holders were invented.","[Basic Set, Party Set]"
Cow-Pies,"When dried, these ""cow chips"" are hurled discus-like over great distances. It's true.","[Basic Set, Party Set]"
Custer's Last Stand,"1866, Little Big Horn. Very big mistake.","[Basic Set, Party Set]"
Dandruff,Dry skin on your scalp? Sounds a bit flaky.,"[Basic Set, Party Set]"
Democrats,"Their symbol is the donkey, or ass. Insert your own joke here.","[Basic Set, Party Set]"
Detroit,"The Motor City is the world's foremost automobile manufacturing center, and the tenth largest city in the U.S.","[Basic Set, Party Set]"
Diamonds,The hard fact: they are just highly refractive crystalline allotropes.,"[Basic Set, Party Set]"
Discovering America,"1492, Christopher Columbus discovered that America was discovered centuries before he arrived.","[Basic Set, Party Set]"
Disneyland,"You've just won the ""Apples to Apples(R) Grand Masters Tournament."" Where're you gonna go?","[Basic Set, Party Set]"
Doing The Dishes,"You wash, I'll watch.","[Basic Set, Party Set]"
Dr. Kevorkin,"1928- , Controversial advocate of doctor-assisted suicide.","[Basic Set, Party Set]"
Dr. Seuss,"1904-1991, Theodor Suess Geisel , the cat who came up with ""The Cat in the Hat.""","[Basic Set, Party Set]"
Duct Tape,"All-purpose, ... all the time ...","[Basic Set, Party Set]"
Earthquakes,The Richter scale is named after the American seismologist Charles Richter. Did the earth move for you?,"[Basic Set, Party Set]"
East Coast,From New England to Florida. They're not like folks 'round here ...,"[Basic Set, Party Set]"
Eleanor Roosevelt,"1884-1962, first lady, social activist, author, lecturer, and U.S. representative to the United Nations.","[Basic Set, Party Set]"
Electricity,The repulsive or attractive force between two stationary bodies. No problem unless one of those bodies is yours.,"[Basic Set, Party Set]"
Elephants,"The largest living land mammal, with two species: Indian and African. Not counting Dumbo, there are no American elephants.","[Basic Set, Party Set]"
Elizabeth Taylor,"1932- , American actor, noted for her lush beauty, emotional performances and multiple husbands.","[Basic Set, Party Set]"
Elvis Presley,"1935-77, American singer and actor and the king of rock-and-roll. His death left the music world all shook up.","[Basic Set, Party Set]"
Emily Dickinson,"1830-86, American poet, whose lyrics are psychologically astute treatments of love, death, and immortality. So there.","[Basic Set, Party Set]"
Ernest Hemingway,"1899-1961, American novelist and short-story writer, whose macho style is crisp, laconic and understated.","[Basic Set, Party Set]"
Europe,The Old Country ... except to people who live there.,"[Basic Set, Party Set]"
Eyes,Light-sensitive organ of vision in animals. See?,"[Basic Set, Party Set]"
Fidel Castro,"1927-, Cuban revolutionary and Communist dictator since 1976. He earned a PhD in law in 1950.","[Basic Set, Party Set]"
Firefighters,"Emperor Augustus instituted a corps of fire-fighting ""watchmen"" in 24 B.C. Nero, on the other hand, fiddled while Rome burned.","[Basic Set, Party Set]"
Firestorms,"Some severe wildfires require more than 10,000 firefighters. And, wouldn't ya know it, some idiot parked in front of the hydrant!","[Basic Set, Party Set]"
First Man On The Moon,"July 20, 1969. ""That's one small step for a man, one giant leap for mankind."" -Neil A. Armstrong","[Basic Set, Party Set]"
Fourth Of July,"""Independence Day"" in the United States. ""Thank Goodness We Got Rid of Them Day"" in Britain.","[Basic Set, Party Set]"
Frank Sinatra,"1915-98, the greatest American pop singer of his generation, award winning film and television actor. Do-be do-be do, baby.","[Basic Set, Party Set]"
Friction,Resistance to the motion of a body in contact with another body ... any body will do.,"[Basic Set, Party Set]"
Funerals,"""He who dies with the most toys is, nonetheless, still dead."" - Anonymous","[Basic Set, Party Set]"
Fur,The characteristic covering of mammals and people with money.,"[Basic Set, Party Set]"
Fuzz,Lint ... Policemen ... Whatever ...,"[Basic Set, Party Set]"
Gang Members,"""When you're a Jet, you're a Jet all the way..."" -West Side Story","[Basic Set, Party Set]"
Garth Brooks,"1962- , American country music singer and songwriter. He's got friends in low places.","[Basic Set, Party Set]"
Getting A Hug,Hmmmm ... nice.,"[Basic Set, Party Set]"
Ghosts,Nonmaterial embodiments or the essence of organisms (mostly human beings). Quite spirited,"[Basic Set, Party Set]"
Giant Squid,Going fishing for giant squid? Nautilus I have to ...,"[Basic Set, Party Set]"
Giving A Hug,"""One may give without loving; but none can love without giving."" -Anonymous","[Basic Set, Party Set]"
Going To School,Secondary education? It's elementary.,"[Basic Set, Party Set]"
Going To The Dentist,This won't hurt a bit ...,"[Basic Set, Party Set]"
Going To The Gym,"No pain, no gain.","[Basic Set, Party Set]"
Golf-Ball-Sized Hail,... which is almost as impressive as hail-sized golf balls ...,"[Basic Set, Party Set]"
Gravity,"In 1684, the law of gravitation was formulated by English physicist Sir Isaac Newton, who recognized the gravity of the situation.","[Basic Set, Party Set]"
Hairballs,"Cough it up, kitty ...","[Basic Set, Party Set]"
Handcuffs,"""You have the right to remain silent...""","[Basic Set, Party Set]"
Hangnails,We've fingered the cause of the pain.,"[Basic Set, Party Set]"
Having An Operation,What a cutup! A real stitch.,"[Basic Set, Party Set]"
Hawaii,"The eight islands that make up America's 50th state entered the Union on August 21, 1959.","[Basic Set, Party Set]"
Helen Keller,"1880-1968, American author and lecturer who overcame deafness and blindness with the help of her companion, Anne Sullivan.","[Basic Set, Party Set]"
High School Football,The whole ten yards!,"[Basic Set, Party Set]"
Hillary Rodham Clinton,"1947- , New York Senator, lawyer, and former American First Lady.","[Basic Set, Party Set]"
Hiroshima,"1945 - ""I am become death, the destroyer of worlds"" - J. Robert Oppenheimer, on the detonation of the first atmoic bomb.","[Basic Set, Party Set]"
Hockey,"Did you hear about the big fight last night? All of a sudden, a hockey game broke out!","[Basic Set, Party Set]"
Hollywood,Motion picture and television industry center of the world. Hooray for Hollywood!,"[Basic Set, Party Set]"
Homer Simpson,Fictional cartoon character created by Matt Groening. D'oh!,"[Basic Set, Party Set]"
Homework,"Finally, something to do during commercials.","[Basic Set, Party Set]"
Hooligans,"""Hey! Kids! Get outta my yard!""","[Basic Set, Party Set]"
Hot Lava,There's no better way to serve it.,"[Basic Set, Party Set]"
Hummingbirds,"Why do hummingbirds hum? Because they don't know the words ... ... da-dum, dum!","[Basic Set, Party Set]"
Humphrey Bogart,"1899-1957, American film actor, starred in such classics as The Maltese Falcon and Casablanca. ""Here's looking at you kid.""","[Basic Set, Party Set]"
Icebergs,May reach 300 to 500 feet above the oceans's surface. Ask the captain of the Titanic about the 90 percent that's UNDER water.,"[Basic Set, Party Set]"
Industrial Revolution,"The first Industrial Revolution occurred in Great Britain at the end of the 1700s. The second came with the invention of the ""Clapper.""","[Basic Set, Party Set]"
Infomercials,"One of these days, one of them may even say something informative.","[Basic Set, Party Set]"
Inside The Sun,"Consisting mostly of hydrogen, the temperature reaches almost 16,000,000 K (about 29,000,000 F).","[Basic Set, Party Set]"
Italy,"European Republic, shaped like a boot - a very fashionable boot.","[Basic Set, Party Set]"
Jacques Cousteau,"1910-97, French naval officer, marine explorer, and author. Best known as a documentary filmmaker.","[Basic Set, Party Set]"
James Bond,"Fictional British secret agent created by English author Ian Fleming. Shaken, but never stirred.","[Basic Set, Party Set]"
James Dean,"1931-55, American actor of film, stage, and television. His role in Rebel Without a Cause helped define ""cool.""","[Basic Set, Party Set]"
Japan,"An Asian constitutional monarchy. The capital city is Tokyo. Let's see ... sushi, Godzilla, earthquakes ...","[Basic Set, Party Set]"
Japanese,How many Japanese does it take to screw in a light bulb? Who needs light bulbs when you've got OUR new technology!,"[Basic Set, Party Set]"
Joan Of Arc,"1412-31, patron saint of France who decisively turned the tide of the Hundred Years' War, which really burned her up.","[Basic Set, Party Set]"
John F. Kennedy,"1917-63, 35th president of the US. ""Ask not what your country can do for you; ask what you can do for your country.""","[Basic Set, Party Set]"
Katherine Hepburn,"1909-2003, American actor and winner of four Academy Awards. She starred in such classics as The African Queen.","[Basic Set, Party Set]"
Killer Whales,"Black and white predatory whales. Boy, can they sing!","[Basic Set, Party Set]"
King Henry VIII,"1491-1547, King of England, and founder of the Church of England. Six wives, no waiting.","[Basic Set, Party Set]"
Las Vegas,"The first casino opened in Las Vegas in 1946. Las Vegas ... or it that Lost Wages?""","[Basic Set, Party Set]"
Lawyers,"We'd throw some joke in here, but we're afraid of getting sued.","[Basic Set, Party Set]"
Leather,Animal hide. Leather you like it or not.,"[Basic Set, Party Set]"
Leonardo Da Vinci,"1452-1519, Florentine artist, sculptor, architect, engineer, scientist, and all-around smartypants.","[Basic Set, Party Set]"
Lightning,"Electrical discharge between rain clouds, or between a rain cloud and the earth, or between a rain cloud and an idiot with a kite.","[Basic Set, Party Set]"
Lobster,Crustaceans closely related to freshwater crayfishes. Market price.,"[Basic Set, Party Set]"
Lollipops,Sucker!,"[Basic Set, Party Set]"
London,"Founded even before the Romans reached England's shores, now the capital of Great Britain.","[Basic Set, Party Set]"
Lucille Ball,"1911-89, American actor and comedian. You love Lucy? I love Lucy.","[Basic Set, Party Set]"
Machine Guns,"Automatic, rapid-fire, repeating weapons. The Gatling gun was used as early as the American Civil War.","[Basic Set, Party Set]"
Madonna,"1958-, American singer, songwriter, actor, writer, and 1980s pop icon. Blond Ambition.","[Basic Set, Party Set]"
Mahatma Gandhi,"1869-1948, Indian leader and philosopher who preached nonviolence. Was assassinated for his efforts.","[Basic Set, Party Set]"
Marilyn Monroe,"1926-62, American movie star, pinup and sex symbol. Just ask the Kennedys.","[Basic Set, Party Set]"
Mark Twain,"1835-1910, American writer and humorist, best known for the adventures of Tom Sawyer and Huckleberry Finn.","[Basic Set, Party Set]"
Marriage,If love and marriage go together like a horse and carriage ... who's the horse?,"[Basic Set, Party Set]"
Martha Stewart,"1941-, television personality, magazine editor, and author. Domestic arts are her stock-in-trade.","[Basic Set, Party Set]"
"Martin Luther King, Jr.","1929-68, American civil rights leader and advocate of nonviolent resistance. Was assassinated for his efforts.","[Basic Set, Party Set]"
Mexico,Federal republic in North America. The capital and largest city is Mexico City.,"[Basic Set, Party Set]"
Mice,"""The best-laid schemes o' mice an' men ..."" -Robert Burns","[Basic Set, Party Set]"
Michael Jackson,"1958-, American popular singer, dancer, and songwriter. Welcome to Neverland.","[Basic Set, Party Set]"
Michael Jordon,"1963- , American professional basketball legend, led Chicago to six world championships. No bull.","[Basic Set, Party Set]"
Michelle Pfeiffer,"1957-, American actor whose career began with Grease 2. She'd like us to forget that but remember her Oscar nominations.","[Basic Set, Party Set]"
Mike Tyson,"1966- , American heavyweight boxer. Lend him your ear ...","[Basic Set, Party Set]"
Milk,Three glasses a day will give you ... the gratitude of the dairy industry.,"[Basic Set, Party Set]"
Mirrors,"And now, a moment for reflection.","[Basic Set, Party Set]"
Mold,Fuzzy growth produced on organic matter by several types of fungi. Particularly attracted to students' refrigerators,"[Basic Set, Party Set]"
Money,"""The best things in life are free/ But you can give them to the birds and bees/ Just give me money ..."" -Bradford and Gordy","[Basic Set, Party Set]"
Morticians,Why do you hang around with THOSE stiffs ...?,"[Basic Set, Party Set]"
Mud,Water. Dirt. You do the math.,"[Basic Set, Party Set]"
My 16th Birthday,"Dad, can I have the keys to the car, please?","[Basic Set, Party Set]"
My Bank Account,Speaking of theoretical mathematics and unreal numbers ...,"[Basic Set, Party Set]"
My Bathroom,"""The bathroom was drenched with their splashings"" -Aldous Huxley","[Basic Set, Party Set]"
My Bedroom,"""No one knows what goes on behind closed doors."" -Charlie Rich","[Basic Set, Party Set]"
My Body,"Mine is a temple. Specifically, the Temple of Doom ...","[Basic Set, Party Set]"
My Boss,... is an idiot. You know it; we know it.,"[Basic Set, Party Set]"
My Family,"They'll drive you nuts. As long as you do the same to them, it's all even.","[Basic Set, Party Set]"
My First Kiss,"Sparks were flying. Of course, that could have been the braces ...","[Basic Set, Party Set]"
My Future,"""The future's so bright, I gotta wear shades ..."" -Timbuk-3","[Basic Set, Party Set]"
My Hair,"Hair today, gone tomorrow ...","[Basic Set, Party Set]"
My High School Prom,As if adolescence isn't awkward and painful enough ...,"[Basic Set, Party Set]"
My Job,Love it or leave it.,"[Basic Set, Party Set]"
My Love Life,"""All you need is love ..."" -The Beatles","[Basic Set, Party Set]"
My Mind,It's a terrible thing to waste.,"[Basic Set, Party Set]"
My Past,What's past is past ... unless you're a politician ...,"[Basic Set, Party Set]"
Napoleon Bonaparte,"1769-1821, Emperor of France. Met his Waterloo at the Battle of Waterloo. The name should have tipped him off ...","[Basic Set, Party Set]"
New Orleans,The Big Easy.,"[Basic Set, Party Set]"
New York City,"America's most populous city. So good, they named it twice.","[Basic Set, Party Set]"
Normal Rockwell,"1894-1978, American painter, illustrator and all-around interpreter of small town American life.","[Basic Set, Party Set]"
Olive Oil,"Derived from fresh ripe fruit, which contain about 20% oil. Better than ""olive"" the other oils.","[Basic Set, Party Set]"
Oprah Winfrey,"1954- , Television talk show host, actor and all-around American success story.","[Basic Set, Party Set]"
Oranges,Face it ... nothing rhymes with orange.,"[Basic Set, Party Set]"
Oxygen,Oxygen was discovered in 1774. You'd think someone would have noticed it earlier.,"[Basic Set, Party Set]"
Pablo Picasso,"1881-1973, Spanish painter and sculptor, one of the greatest artists of the 20th century. If only he could draw eyes ...","[Basic Set, Party Set]"
Parenting,The process of discovering you are becoming just like YOUR parents.,"[Basic Set, Party Set]"
"Paris, France","The governmental, cultural and gastronomic capital of France. Or the world. Just ask the French.","[Basic Set, Party Set]"
Paying Bills,"Also known as ""Debt Restructuring.""","[Basic Set, Party Set]"
Paying Taxes,Death or Taxes? Do we have to choose right away?,"[Basic Set, Party Set]"
Picking Your Nose,Noses run in our family.,"[Basic Set, Party Set]"
Pigeons,"Birds with small heads, short necks, stout bodies, and an incredible attraction to statues.","[Basic Set, Party Set]"
Pigs,"Domesticated mammal of the swine family. Thaaa ... thaaa ... that's all, folks!","[Basic Set, Party Set]"
Piranha,Carnivorous fish found in rivers of South America. When you feel like a bite ...,"[Basic Set, Party Set]"
Pit Bulls,"Any of several crossbreeds of bulldogs with terriers. Or, several radio hosts we could mention.","[Basic Set, Party Set]"
Plastic,Giant molecules of organic polymeric materials. Bags and bags of the stuff.,"[Basic Set, Party Set]"
Playing Chess,Has tantalized many of the world's greatest minds for almost 14 centuries. It just confuses the rest of us.,"[Basic Set, Party Set]"
Pond Scum,Simple organisms that carry out photosynthesis ... or spammers.,"[Basic Set, Party Set]"
Princess Di,"1962-97, beloved English Princess who died in an auto crash. ""Good-bye England's Rose ..."" -Elton John","[Basic Set, Party Set]"
Pro Wrestling,"They're just faking it. But then, so are we.","[Basic Set, Party Set]"
Public Radio,"""Good morning . . . . . This morning . . . . . . . . . . . .we have Wolfgang . . . Amadeus Mozart . . . for your listening pleasure . . .""","[Basic Set, Party Set]"
Puff Daddy,"1971- , American rap artist. ""I'll be Missing You"" shot him to stardom; no pun intended.","[Basic Set, Party Set]"
Pumping Iron,When a great weight needs to be lifted.,"[Basic Set, Party Set]"
Quentin Terantino,"1963- , Groundbreaking American director and actor. Nice movies, but not nearly enough blood.","[Basic Set, Party Set]"
Quicksand,Just don't let it get you down.,"[Basic Set, Party Set]"
Rain,"""When the rain comes, they run and hide their heads; they might as well be dead."" -The Beatles","[Basic Set, Party Set]"
Rappers,PAENTAL ADVISORY EXPLICIT CONTENT Hasn't seemed to hurt sales...,"[Basic Set, Party Set]"
Redwood Forests,"""From the Redwood Forests to the Gulf Stream Waters/ This land was made for you and me."" -Woody Guthrie","[Basic Set, Party Set]"
Remote Controls,"The world's handiest invention. That is, if you can find it.","[Basic Set, Party Set]"
Republicans,A U.S. political party symbolized by an elephant ... and don't forget it!,"[Basic Set, Party Set]"
Robin Williams,"1952- , versatile American comedian and actor. The furriest man in show business.","[Basic Set, Party Set]"
Rock Concert,If it's too loud - you're too old.,"[Basic Set, Party Set]"
Running A Marathon,"26 miles, 385 yards: the distance run by a Greek soldier from the town of Marathon to Athens in 490 BC.","[Basic Set, Party Set]"
Rust,"""Rust never sleeps."" -Neil Young","[Basic Set, Party Set]"
Saddam Hussein,"1937-, dictator of Iraq 1979-2003.","[Basic Set, Party Set]"
San Francisco,California's City by the Bay. Where many hearts are left.,"[Basic Set, Party Set]"
Saturn,"Sixth planet from the sun, and the second largest in the solar system. Has a nice ring to it, don't you think?","[Basic Set, Party Set]"
Scene Of The Crime,"It was Colonel Mustard, in the library, with the candlestick.","[Basic Set, Party Set]"
Sean Connery,"1930- , Accomplished Scottish actor, although best known as the REAL Bond, JAMES Bond ...","[Basic Set, Party Set]"
Sharks,Many species living today are similar to those from 100 million years ago. Because change is scary.,"[Basic Set, Party Set]"
Silk,"Produced as a cocoon covering by the silk worm, and used in fine fabrics and textiles.","[Basic Set, Party Set]"
Skateboarding,It's just going downhill ... down stairs ... down ramps ...,"[Basic Set, Party Set]"
Skiing,"The Super Ginat Slalom: Swiss for ""suicide.""","[Basic Set, Party Set]"
Skinheads,"Shaved heads, big boots. Some are Nazis, some are not.","[Basic Set, Party Set]"
Skydiving,Parachute canopies are usually made from nylon fabric that lasts for thousands of jumps - whether the skydiver does or not.,"[Basic Set, Party Set]"
Snakes,"Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive.","[Basic Set, Party Set]"
Snow,Transparent ice crystals which form around dust and other small particles. Get my drift?,"[Basic Set, Party Set]"
Socks,"""Black socks, they never get dirty, the longer you wear them the stronger they get."" -Bill Harley","[Basic Set, Party Set]"
South Africa,"Two oceans, rugged mountains, traditional villages, game sanctuaries, wineries...forget the past and bring on the tourists.","[Basic Set, Party Set]"
Spiders,"There are more than 34,000 species of spiders. Try not to think about THAT right before bedtime.","[Basic Set, Party Set]"
Spike Lee,"1957-, American film maker and Knicks fan. Best known for Do the Right Thing, Malcolm X, and 4 Little Girls.","[Basic Set, Party Set]"
Spit,"Ladies and gentlemen, straight from the Salivary Glands ...","[Basic Set, Party Set]"
Stephen King,"1947- , American author of horror novels, who's sold more than 100 million copies of his books. Talk about frightening ...","[Basic Set, Party Set]"
Steven Spielberg,"1947-, American movie director and producer, and overachiever. From E.T. to Schindler's List... too many to list.","[Basic Set, Party Set]"
Superman,Fictional comic book superhero loved by Lois Lane and Jerry Seinfeld.,"[Basic Set, Party Set]"
Surfing The Net,www.otb-games.com,"[Basic Set, Party Set]"
Swiss Chocolate,"""What use are cartridges in battle? I always carry chocolate instead."" -George Bernard Shaw","[Basic Set, Party Set]"
Taking A Bath,Bathing facilities have been found in excavations in India from before 2000 BC. Soap-on-a-Rope hasn't.,"[Basic Set, Party Set]"
Teachers,"If you can play this game, thank a teacher.","[Basic Set, Party Set]"
Television,"One-hundred and sixty-four channels, and nothing worth watching.","[Basic Set, Party Set]"
Terrorist Attack,We will never negotiate with terrorists.,"[Basic Set, Party Set]"
Thanksgiving Day,The fourth Thursday of November in the U.S.; the second Monday in October in Canada.,"[Basic Set, Party Set]"
The 1920s,Pros: the Jazz Age. Cons: Presidents who look like librarians.,"[Basic Set, Party Set]"
The 1950s,"Pros: Barbies, barbecues, and bikinis. Cons: McCarthy, the Korean War, television.","[Basic Set, Party Set]"
The 1960s,"Pros: the Moon Lsnding, the music. Cons: hippies who refuse to believe they're over.","[Basic Set, Party Set]"
The 1970s,"Pros ... uh ... pros ... uh ... GIVE US A MINUTE, OKAY?","[Basic Set, Party Set]"
The 1980s,Pros: meant the end of the 1970s. Cons: '80s nostalgia.,"[Basic Set, Party Set]"
The 21st Century,The future is NOW!,"[Basic Set, Party Set]"
The Academy Awards,"The statue known as ""Oscar"" weighs only eight and a half pounds. So why does it carry so much weight?","[Basic Set, Party Set]"
The Beach,"A day at the beach is no day at the beach, ya know?","[Basic Set, Party Set]"
The Beatles,"1960s British band. Only the most revolutionary, influential and universally acclaimed group of the 20th century. That's all.","[Basic Set, Party Set]"
The Dump,Just remember to recycle.,"[Basic Set, Party Set]"
The Eiffel Tower,Designed and built by French engineer Alexandre Gustave Eiffel for the Paris World's Fair of 1889.,"[Basic Set, Party Set]"
The Electric Chair,"In U.S. prisons, an alternating current of about 2000 volts is used for electrocution.","[Basic Set, Party Set]"
The First Day Of School,"""Fear has many eyes."" -Cervantes","[Basic Set, Party Set]"
The French Riviera,"Holiday home of the rich, the famous, and the half-naked.","[Basic Set, Party Set]"
The Grand Canyon,"217 miles long, 4 to 18 miles wide, and more than 1 mile deeps. Now THAT'S grand.","[Basic Set, Party Set]"
The Grateful Dead,"American rock band, founded in 1965 and best known for their ""Dead Head"" fans.","[Basic Set, Party Set]"
The Great Depression,Prozac was invented six decades too late.,"[Basic Set, Party Set]"
